county_name|internal_point_lat|internal_point_lon
Nome Census Area|64.7836858|-164.1889119
North Slope Borough|69.4493427|-153.4728302
Northwest Arctic Borough|67.0050655|-160.0210864
Petersburg Borough|57.1124581|-133.0085979
Prince of Wales-Hyder Census Area|55.6827733|-133.1623885
Sitka City and Borough|57.1932044|-135.3673965
Skagway Municipality|59.5603794|-135.3382787
Southeast Fairbanks Census Area|63.8649972|-143.2186282
Valdez-Cordova Census Area|61.3498431|-145.0231093
Wrangell City and Borough|56.3174160|-132.3439780
Yakutat City and Borough|60.0174528|-140.4169420
Yukon-Koyukuk Census Area|65.3757271|-151.5778496
Apache County|35.3850840|-109.4901722
Cochise County|31.8401287|-109.7751627
Coconino County|35.8296919|-111.7737277
Gila County|33.7896177|-110.8118696
Graham County|32.9318277|-109.8783103
Greenlee County|33.2388723|-109.2423231
La Paz County|33.7276104|-114.0388060
Maricopa County|33.3451756|-112.4989297
Mohave County|35.7177050|-113.7496891
Navajo County|35.3907852|-110.3210248
Pima County|32.1280427|-111.7836574
Pinal County|32.9185209|-111.3663396
Santa Cruz County|31.5257330|-110.8452278
Yavapai County|34.6310710|-112.5772247
Yuma County|32.7739424|-113.9109050
Arkansas County|34.2895697|-91.3765466
Ashley County|33.1908354|-91.7722672
Baxter County|36.2802684|-92.3299488
Benton County|36.3378189|-94.2562984
Boone County|36.3042991|-93.0792364
Bradley County|33.4665491|-92.1691559
Calhoun County|33.5604604|-92.5138790
Carroll County|36.3373704|-93.5409718
Chicot County|33.2671393|-91.2971578
Clark County|34.0533162|-93.1762085
Clay County|36.3673021|-90.4187041
Cleburne County|35.5663146|-92.0599504
Cleveland County|33.8932006|-92.1887141
Columbia County|33.2230377|-93.2328433
Conway County|35.2657020|-92.6892479
Craighead County|35.8277285|-90.6314213
Crawford County|35.5830114|-94.2362187
Crittenden County|35.2118788|-90.3153317
Cross County|35.2856921|-90.7639835
Dallas County|33.9678233|-92.6539989
Desha County|33.8287519|-91.2441034
Drew County|33.5872418|-91.7227781
Faulkner County|35.1465478|-92.3369277
Franklin County|35.5085579|-93.8876647
Fulton County|36.3836192|-91.8196636
Garland County|34.5788523|-93.1469323
Grant County|34.2855683|-92.4229794
Greene County|36.1206072|-90.5663459
Hempstead County|33.7359530|-93.6643553
Hot Spring County|34.3151767|-92.9441474
Howard County|34.0830639|-93.9909315
Independence County|35.7374992|-91.5599423
Izard County|36.0948792|-91.9136252
Jackson County|35.5964674|-91.2232051
Jefferson County|34.2772390|-91.9296730
Johnson County|35.5733586|-93.4663223
Lafayette County|33.2406294|-93.6115140
Lawrence County|36.0410983|-91.1011529
Lee County|34.7795048|-90.7797172
Lincoln County|33.9576750|-91.7276258
Little River County|33.6994970|-94.2297741
Logan County|35.2186538|-93.7209102
Lonoke County|34.7551137|-91.8941320
Madison County|36.0125452|-93.7240531
Marion County|36.2666636|-92.6785765
Miller County|33.3055054|-93.9015018
Mississippi County|35.7669437|-90.0522072
Monroe County|34.6795117|-91.2033099
Montgomery County|34.5456557|-93.6641530
Nevada County|33.6666991|-93.3050716
Newton County|35.9107423|-93.2158984
Ouachita County|33.5911684|-92.8784131
Perry County|34.9463629|-92.9268773
Phillips County|34.4236874|-90.8555931
Pike County|34.1581907|-93.6586589
Poinsett County|35.5688702|-90.6811037
Polk County|34.4909149|-94.2308841
Pope County|35.4565570|-93.0268181
Prairie County|34.8311162|-91.5536205
Pulaski County|34.7703106|-92.3129960
Randolph County|36.3412985|-91.0284409
St. Francis County|35.0228383|-90.7515053
Saline County|34.6485246|-92.6744630
Scott County|34.8588693|-94.0636413
Searcy County|35.8963868|-92.6958884
Sebastian County|35.1969808|-94.2749889
Sevier County|33.9948773|-94.2432792
Sharp County|36.1733989|-91.4710689
Stone County|35.8570011|-92.1404819
Union County|33.1682186|-92.5981447
Van Buren County|35.5829532|-92.5159757
Washington County|35.9780010|-94.2172695
White County|35.2551175|-91.7530339
Woodruff County|35.1927768|-91.2445353
Yell County|34.9977133|-93.4083032
Alameda County|37.6471385|-121.9124880
Alpine County|38.6217831|-119.7983522
Amador County|38.4435501|-120.6538563
Butte County|39.6659588|-121.6019188
Calaveras County|38.1838996|-120.5614415
Colusa County|39.1777385|-122.2375629
Contra Costa County|37.9194790|-121.9515431
Del Norte County|41.7639580|-124.0036140
El Dorado County|38.7856116|-120.5342245
Fresno County|36.7610058|-119.6550193
Glenn County|39.6025462|-122.4016998
Humboldt County|40.7066554|-123.9261757
Imperial County|33.0408143|-115.3554001
Inyo County|36.5619770|-117.4039269
Kern County|35.3466288|-118.7295064
Kings County|36.0724780|-119.8155301
Lake County|39.0948019|-122.7467569
Lassen County|40.7210862|-120.6299518
Los Angeles County|34.1963983|-118.2618616
Madera County|37.2098213|-119.7498023
Marin County|38.0518169|-122.7459738
Mariposa County|37.5700295|-119.9128613
Mendocino County|39.4323876|-123.4428811
Merced County|37.1948063|-120.7228019
Modoc County|41.5929185|-120.7183704
Mono County|37.9158363|-118.8751668
Monterey County|36.2401070|-121.3155723
Napa County|38.5070999|-122.3259045
Nevada County|39.2975082|-120.7713429
Orange County|33.6756872|-117.7772068
Placer County|39.0620323|-120.7227181
Plumas County|39.9922953|-120.8243709
Riverside County|33.7298275|-116.0022389
Sacramento County|38.4500161|-121.3404408
San Benito County|36.6116507|-121.0858108
San Bernardino County|34.8572198|-116.1811967
San Diego County|33.0236041|-116.7761174
San Francisco County|37.7272391|-123.0322294
San Joaquin County|37.9349815|-121.2722440
San Luis Obispo County|35.3852242|-120.4475445
San Mateo County|37.4146725|-122.3715457
Santa Barbara County|34.5370572|-120.0399729
Santa Clara County|37.2206954|-121.6905097
Santa Cruz County|37.0124883|-122.0072050
Shasta County|40.7605142|-122.0435556
Sierra County|39.5769252|-120.5219926
Siskiyou County|41.5879861|-122.5332868
Solano County|38.2672255|-121.9395940
Sonoma County|38.5251824|-122.9261095
Stanislaus County|37.5623162|-121.0028311
Sutter County|39.0361898|-121.7039397
Tehama County|40.1261573|-122.2322737
Trinity County|40.6478033|-123.1144760
Tulare County|36.2288339|-118.7810551
Tuolumne County|38.0214344|-119.9647335
Ventura County|34.3587415|-119.1331432
Yolo County|38.6795955|-121.9024413
Yuba County|39.2701300|-121.3442587
Adams County|39.8743252|-104.3318718
Alamosa County|37.5684423|-105.7880414
Arapahoe County|39.6445537|-104.3317065
Archuleta County|37.2023952|-107.0508634
Baca County|37.3097802|-102.5437412
Bent County|37.9318907|-103.0775841
Boulder County|40.0949699|-105.3976911
Broomfield County|39.9535933|-105.0507868
Chaffee County|38.7382234|-106.3166833
Cheyenne County|38.8356456|-102.6017914
Clear Creek County|39.6697320|-105.6925700
Conejos County|37.2134065|-106.1764473
Costilla County|37.2775474|-105.4289399
Crowley County|38.3061801|-103.7727363
Custer County|38.1019955|-105.3735123
Delta County|38.8615949|-107.8648924
Denver County|39.7618502|-104.8811054
Dolores County|37.7117226|-108.5241156
Douglas County|39.3254140|-104.9259871
Eagle County|39.6269919|-106.6951694
Elbert County|39.3151572|-104.1140759
El Paso County|38.8273831|-104.5274718
Fremont County|38.4551696|-105.4249583
Garfield County|39.5993517|-107.9097802
Gilpin County|39.8611555|-105.5288778
Grand County|40.1130652|-106.1108366
Gunnison County|38.6704993|-107.0568798
Hinsdale County|37.8211654|-107.3382613
Huerfano County|37.6878154|-104.9599278
Jackson County|40.6634319|-106.3292476
Jefferson County|39.5795106|-105.2454620
Kiowa County|38.3876630|-102.7568494
Kit Carson County|39.3053399|-102.6030226
Lake County|39.2053405|-106.3500790
La Plata County|37.2873673|-107.8397178
Larimer County|40.6580933|-105.4867638
Las Animas County|37.3188308|-104.0441103
Lincoln County|38.9937401|-103.5075545
Logan County|40.7280911|-103.0904639
Mesa County|39.0195240|-108.4605707
Mineral County|37.5490672|-107.0032360
Moffat County|40.6108644|-108.2171545
Montezuma County|37.3380247|-108.5957864
Montrose County|38.4075069|-108.2662815
Morgan County|40.2631590|-103.8122102
Otero County|37.8841698|-103.7212597
Ouray County|38.1547313|-107.7884802
Park County|39.1189141|-105.7176479
Phillips County|40.5947117|-102.3451047
Pitkin County|39.2175376|-106.9161587
Prowers County|37.9581814|-102.3921613
Pueblo County|38.1706581|-104.4898924
Rio Blanco County|39.9726223|-108.2007155
Rio Grande County|37.4858534|-106.4531280
Routt County|40.4836638|-106.9877021
Saguache County|38.0316514|-106.2346662
San Juan County|37.7810492|-107.6702567
San Miguel County|38.0093190|-108.4272635
Sedgwick County|40.8715679|-102.3553579
Summit County|39.6210227|-106.1375545
Teller County|38.8699759|-105.1873651
Washington County|39.9657899|-103.2097445
Weld County|40.5559610|-104.3836660
Yuma County|40.0007703|-102.4216491
Fairfield County|41.2274128|-73.3670614
Hartford County|41.8060534|-72.7329157
Litchfield County|41.7918833|-73.2354042
Middlesex County|41.4330028|-72.5227802
New Haven County|41.3497185|-72.9002033
New London County|41.4726517|-72.1086339
Tolland County|41.8580807|-72.3409779
Windham County|41.8249987|-71.9907017
Kent County|39.0970884|-75.5029819
New Castle County|39.5759152|-75.6441324
Sussex County|38.6732275|-75.3370237
District of Columbia|38.9042474|-77.0165167
Alachua County|29.6757403|-82.3572210
Baker County|30.3244416|-82.3022838
Bay County|30.2382176|-85.6316798
Bradford County|29.9523863|-82.1666793
Brevard County|28.2983112|-80.7003334
Broward County|26.1935353|-80.4766834
Calhoun County|30.3888013|-85.1979155
Charlotte County|26.8689745|-81.9412782
Citrus County|28.8436402|-82.5248099
Clay County|29.9865835|-81.8650364
Collier County|26.1187860|-81.4009553
Columbia County|30.2216509|-82.6233712
DeSoto County|27.1905809|-81.8062531
Dixie County|29.5808994|-83.1956656
Duval County|30.3352449|-81.6481132
Escambia County|30.6116382|-87.3388996
Flagler County|29.4748909|-81.2862532
Franklin County|29.8101756|-84.7991742
Gadsden County|30.5786866|-84.6126072
Gilchrist County|29.7234556|-82.7958011
Glades County|26.9548102|-81.1908197
Gulf County|29.9072571|-85.2565366
Hamilton County|30.4911868|-82.9510714
Hardee County|27.4928458|-81.8215798
Hendry County|26.5399670|-81.1521142
Hernando County|28.5730426|-82.4662272
Highlands County|27.3410799|-81.3423534
Hillsborough County|27.9066072|-82.3497186
Holmes County|30.8620072|-85.8159385
Indian River County|27.7005283|-80.5747894
Jackson County|30.7892485|-85.2088141
Jefferson County|30.4245577|-83.8908594
Lafayette County|29.9900661|-83.1785097
Lake County|28.7641128|-81.7122822
Lee County|26.5590348|-81.8919943
Leon County|30.4593104|-84.2778004
Levy County|29.2844566|-82.7834620
Liberty County|30.2598494|-84.8685805
Madison County|30.4472325|-83.4704159
Manatee County|27.4816825|-82.3687669
Marion County|29.2028047|-82.0431004
Martin County|27.0836036|-80.3982011
Miami-Dade County|25.6105799|-80.4970989
Monroe County|24.7688833|-80.9532703
Nassau County|30.6059629|-81.7650867
Okaloosa County|30.6658510|-86.5941872
Okeechobee County|27.3855924|-80.8873884
Orange County|28.5143906|-81.3232839
Osceola County|28.0590267|-81.1393116
Palm Beach County|26.6491257|-80.4483542
Pasco County|28.3077107|-82.4648324
Pinellas County|27.9031078|-82.7395188
Polk County|27.9536488|-81.6935337
Putnam County|29.5938964|-81.7320389
St. Johns County|29.8904875|-81.4000404
St. Lucie County|27.3798137|-80.4435357
Santa Rosa County|30.7012689|-87.0128900
Sarasota County|27.1843855|-82.3658351
Seminole County|28.6900918|-81.1319894
Sumter County|28.7141008|-82.0743472
Suwannee County|30.1892438|-82.9927542
Taylor County|30.0099084|-83.6094825
Union County|30.0542796|-82.3669180
Volusia County|29.0577690|-81.1617920
Wakulla County|30.1394320|-84.3748463
Walton County|30.6312106|-86.1766139
Washington County|30.6022166|-85.6627968
Appling County|31.7397120|-82.2901025
Atkinson County|31.2968056|-82.8781511
Bacon County|31.5502095|-82.4514325
Baker County|31.3195798|-84.4548812
Baldwin County|33.0594897|-83.2554566
Banks County|34.3519216|-83.4984409
Barrow County|33.9920094|-83.7123025
Bartow County|34.2409175|-84.8381879
Ben Hill County|31.7407715|-83.1471970
Berrien County|31.2886522|-83.2278695
Bibb County|32.8088446|-83.6941941
Bleckley County|32.4354034|-83.3317174
Brantley County|31.1973339|-81.9829779
Brooks County|30.8229337|-83.5819054
Bryan County|32.0179692|-81.4385431
Bulloch County|32.3917111|-81.7440210
Burke County|33.0601805|-82.0001638
Butts County|33.2903551|-83.9582206
Calhoun County|31.5212790|-84.6262895
Camden County|30.9133580|-81.6420193
Candler County|32.4039497|-82.0712656
Carroll County|33.5822366|-85.0805272
Catoosa County|34.9002176|-85.1393857
Charlton County|30.7799036|-82.1396442
Chatham County|31.9804037|-81.0851840
Chattahoochee County|32.3474454|-84.7880206
Chattooga County|34.4741785|-85.3452894
Cherokee County|34.2443166|-84.4750574
Clarke County|33.9521852|-83.3671522
Clay County|31.6198309|-84.9925826
Clayton County|33.5426863|-84.3555727
Clinch County|30.9176531|-82.7026143
Cobb County|33.9399298|-84.5741123
Coffee County|31.5492452|-82.8449401
Colquitt County|31.1897075|-83.7697730
Columbia County|33.5476313|-82.2522957
Cook County|31.1525157|-83.4294448
Coweta County|33.3528965|-84.7621381
Crawford County|32.7094283|-83.9791874
Crisp County|31.9151485|-83.7535309
Dade County|34.8524237|-85.5062006
Dawson County|34.4426077|-84.1732611
Decatur County|30.8806431|-84.5838902
DeKalb County|33.7706611|-84.2263432
Dodge County|32.1643690|-83.1678658
Dooly County|32.1519954|-83.8071670
Dougherty County|31.5325876|-84.2090400
Douglas County|33.7012421|-84.7673139
Early County|31.3241906|-84.9067225
Echols County|30.7140081|-82.8973758
Effingham County|32.3616802|-81.3433720
Elbert County|34.1164130|-82.8419087
Emanuel County|32.5910995|-82.2997628
Evans County|32.1530834|-81.8901530
Fannin County|34.8665427|-84.3173308
Fayette County|33.4127172|-84.4939407
Floyd County|34.2636918|-85.2136851
Forsyth County|34.2251430|-84.1274075
Franklin County|34.3752657|-83.2275325
Fulton County|33.7900338|-84.4681816
Gilmer County|34.6905055|-84.4546244
Glascock County|33.2274908|-82.6069126
Glynn County|31.2127098|-81.4964503
Gordon County|34.5096669|-84.8738622
Grady County|30.8759076|-84.2450803
Greene County|33.5767403|-83.1666127
Gwinnett County|33.9591457|-84.0230870
Habersham County|34.6343924|-83.5258749
Hall County|34.3175689|-83.8184997
Hancock County|33.2692195|-83.0004653
Haralson County|33.7951646|-85.2200629
Harris County|32.7315494|-84.9124320
Hart County|34.3487328|-82.9632900
Heard County|33.2913469|-85.1378862
Henry County|33.4529466|-84.1540207
Houston County|32.4582875|-83.6625217
Irwin County|31.6043062|-83.2770374
Jackson County|34.1309052|-83.5625568
Jasper County|33.3169807|-83.6891515
Jeff Davis County|31.8116153|-82.6368248
Jefferson County|33.0581756|-82.4200036
Jenkins County|32.7945631|-81.9715244
Johnson County|32.6945842|-82.6639696
Jones County|33.0216636|-83.5621958
Lamar County|33.0744405|-84.1466893
Lanier County|31.0381973|-83.0631635
Laurens County|32.3932197|-82.9263171
Lee County|31.8184185|-84.1466814
Liberty County|31.8074582|-81.4578709
Lincoln County|33.7921507|-82.4482992
Long County|31.7495633|-81.7428697
Lowndes County|30.8331450|-83.2689952
Lumpkin County|34.5681403|-83.9989251
McDuffie County|33.4796231|-82.4787331
McIntosh County|31.4885058|-81.3722892
Macon County|32.3626859|-84.0512306
Madison County|34.1285257|-83.2037373
Marion County|32.3593118|-84.5287354
Meriwether County|33.0292666|-84.6670579
Miller County|31.1629309|-84.7303983
Mitchell County|31.2289970|-84.1920380
Monroe County|33.0174352|-83.9229376
Montgomery County|32.1721081|-82.5333487
Morgan County|33.5986956|-83.4994346
Murray County|34.7970974|-84.7379899
Muscogee County|32.5101970|-84.8749460
Newton County|33.5440407|-83.8551837
Oconee County|33.8341247|-83.4377284
Oglethorpe County|33.8668062|-83.0740805
Paulding County|33.9210299|-84.8671693
Peach County|32.5713241|-83.8319779
Pickens County|34.4567464|-84.4903508
Pierce County|31.3539980|-82.2103703
Pike County|33.0812241|-84.3898475
Polk County|33.9960153|-85.1883384
Pulaski County|32.2388026|-83.4818454
Putnam County|33.3210605|-83.3717898
Quitman County|31.8629381|-85.0047978
Rabun County|34.8839345|-83.4048701
Randolph County|31.7626510|-84.7523108
Richmond County|33.3614863|-82.0749982
Rockdale County|33.6520811|-84.0263696
Schley County|32.2634439|-84.3227083
Screven County|32.7447512|-81.6175849
Seminole County|30.9339599|-84.8676853
Spalding County|33.2623481|-84.2849046
Stephens County|34.5529139|-83.2902156
Stewart County|32.0732250|-84.8349117
Sumter County|32.0422659|-84.2042935
Talbot County|32.7046026|-84.5300288
Taliaferro County|33.5593190|-82.8752721
Tattnall County|32.0437683|-82.0592081
Taylor County|32.5546668|-84.2514261
Telfair County|31.9136406|-82.9310634
Terrell County|31.7771909|-84.4394464
Thomas County|30.8646195|-83.9198155
Tift County|31.4570027|-83.5259307
Toombs County|32.1178118|-82.3306257
Towns County|34.9025294|-83.7322645
Treutlen County|32.4095857|-82.5708819
Troup County|33.0344820|-85.0283600
Turner County|31.7248005|-83.6203195
Twiggs County|32.6658469|-83.4258792
Union County|34.8333330|-83.9892568
Upson County|32.8818367|-84.2922831
Walker County|34.7358020|-85.3054565
Walton County|33.7838866|-83.7318290
Ware County|31.0508810|-82.4215072
Warren County|33.4191691|-82.6880123
Washington County|32.9718435|-82.7981123
Wayne County|31.5478449|-81.9123763
Webster County|32.0466911|-84.5538279
Wheeler County|32.1052580|-82.7338492
White County|34.6437760|-83.7434165
Whitfield County|34.8017261|-84.9685410
Wilcox County|31.9627199|-83.4382586
Wilkes County|33.7790312|-82.7479211
Wilkinson County|32.8042663|-83.1755122
Worth County|31.5517733|-83.8499598
Hawaii County|19.5977643|-155.5024434
Honolulu County|21.5800225|-158.1234063
Kalawao County|21.2187644|-156.9740097
Kauai County|22.0120383|-159.7059653
Maui County|20.8559308|-156.6015502
Ada County|43.4514767|-116.2443760
Adams County|44.8770040|-116.4616241
Bannock County|42.6929211|-112.2289819
Bear Lake County|42.2858922|-111.3275168
Benewah County|47.2184513|-116.6335414
Bingham County|43.2163568|-112.3992058
Blaine County|43.3941920|-113.9553713
Boise County|43.9872749|-115.7151105
Bonner County|48.3167960|-116.6123638
Bonneville County|43.3951708|-111.6218783
Boundary County|48.7731313|-116.5246676
Butte County|43.6851010|-113.1776308
Camas County|43.5025515|-114.7721349
Canyon County|43.6257956|-116.7090580
Caribou County|42.7860724|-111.5442734
Cassia County|42.2823130|-113.6263276
Clark County|44.2902180|-112.3546128
Clearwater County|46.6725700|-115.6535003
Custer County|44.2733510|-114.2522675
Elmore County|43.3946984|-115.4712050
Franklin County|42.1736093|-111.8229653
Fremont County|44.2180909|-111.4844290
Gem County|44.0614727|-116.3987839
Gooding County|42.9731849|-114.8214203
Idaho County|45.8496440|-115.4673371
Jefferson County|43.7969649|-112.3185879
Jerome County|42.6913953|-114.2620858
Kootenai County|47.6759658|-116.6959222
Latah County|46.8189202|-116.7309737
Lemhi County|44.9285059|-113.8870422
Lewis County|46.2363277|-116.4237600
Lincoln County|42.9861805|-114.1538989
Madison County|43.7886140|-111.6569925
Minidoka County|42.8572114|-113.6398404
Nez Perce County|46.3337914|-116.7609091
Oneida County|42.1838954|-112.5204486
Owyhee County|42.5728508|-116.1896903
Payette County|44.0024300|-116.7502379
Power County|42.6941260|-112.8444070
Shoshone County|47.3476935|-115.8850916
Teton County|43.7609939|-111.2117653
Twin Falls County|42.3523090|-114.6656386
Valley County|44.8559596|-115.6180612
Washington County|44.4482229|-116.7977917
Adams County|39.9860525|-91.1949607
Alexander County|37.1836583|-89.3495158
Bond County|38.8859240|-89.4365916
Boone County|42.3189831|-88.8242951
Brown County|39.9620694|-90.7503095
Bureau County|41.4013043|-89.5283772
Calhoun County|39.1642619|-90.6662949
Carroll County|42.0709000|-89.9241894
Cass County|39.9692024|-90.2457045
Champaign County|40.1389845|-88.1969749
Christian County|39.5455242|-89.2795927
Clark County|39.3323343|-87.7916832
Clay County|38.7468187|-88.4823254
Clinton County|38.6062953|-89.4262278
Coles County|39.5136797|-88.2207820
Cook County|41.8942937|-87.6454546
Crawford County|39.0027865|-87.7606193
Cumberland County|39.2731210|-88.2406193
DeKalb County|41.8946125|-88.7689910
De Witt County|40.1814993|-88.9018526
Douglas County|39.7660780|-88.2228656
DuPage County|41.8520577|-88.0860389
Edgar County|39.6790370|-87.7471102
Edwards County|38.4170954|-88.0479408
Effingham County|39.0479445|-88.5928488
Fayette County|39.0011246|-89.0179232
Ford County|40.5965386|-88.2245882
Franklin County|37.9918516|-88.9263215
Fulton County|40.4652401|-90.2022689
Gallatin County|37.7686768|-88.2279642
Greene County|39.3554391|-90.3876823
Grundy County|41.2924096|-88.4010545
Hamilton County|38.0852273|-88.5390093
Hancock County|40.4013180|-91.1688008
Hardin County|37.5178517|-88.2661478
Henderson County|40.8144710|-90.9412464
Henry County|41.3500209|-90.1308378
Iroquois County|40.7488665|-87.8336010
Jackson County|37.7860959|-89.3812119
Jasper County|39.0048737|-88.1507629
Jefferson County|38.3007796|-88.9242100
Jersey County|39.0801945|-90.3613850
Jo Daviess County|42.3623905|-90.2114705
Johnson County|37.4607092|-88.8821305
Kane County|41.9395938|-88.4280395
Kankakee County|41.1395105|-87.8611165
Kendall County|41.5881403|-88.4306257
Knox County|40.9309446|-90.2137921
Lake County|42.3264410|-87.4359760
LaSalle County|41.3433407|-88.8859312
Lawrence County|38.7189542|-87.7302207
Lee County|41.7474465|-89.2993616
Livingston County|40.8943761|-88.5528518
Logan County|40.1292768|-89.3653086
McDonough County|40.4558082|-90.6789543
McHenry County|42.3242982|-88.4522450
McLean County|40.4945594|-88.8445391
Macon County|39.8602372|-88.9615288
Macoupin County|39.2659138|-89.9263301
Madison County|38.8271195|-89.9002267
Marion County|38.6482361|-88.9203624
Marshall County|41.0311192|-89.3423714
Mason County|40.2369926|-89.9135746
Massac County|37.2161190|-88.7056578
Menard County|40.0225693|-89.7941326
Mercer County|41.2056046|-90.7417698
Monroe County|38.2779831|-90.1790777
Montgomery County|39.2280681|-89.4781407
Morgan County|39.7176678|-90.2050054
Moultrie County|39.6368956|-88.6257259
Ogle County|42.0418840|-89.3201764
Peoria County|40.7859722|-89.7669933
Perry County|38.0843809|-89.3685249
Piatt County|40.0090327|-88.5923546
Pike County|39.6251059|-90.8890344
Pope County|37.4171687|-88.5423737
Pulaski County|37.2156152|-89.1277549
Putnam County|41.1989613|-89.2983474
Randolph County|38.0565149|-89.8212096
Richland County|38.7121872|-88.0854523
Rock Island County|41.4684205|-90.5721252
St. Clair County|38.4701976|-89.9285459
Saline County|37.7515083|-88.5450236
Sangamon County|39.7568675|-89.6624251
Schuyler County|40.1569048|-90.6134641
Scott County|39.6370016|-90.4777707
Shelby County|39.3849258|-88.7988615
Stark County|41.0969077|-89.7974111
Stephenson County|42.3497262|-89.6659942
Tazewell County|40.5080743|-89.5162598
Union County|37.4856521|-89.2446391
Vermilion County|40.1867542|-87.7267779
Wabash County|38.4458209|-87.8391674
Warren County|40.8504412|-90.6202228
Washington County|38.3531405|-89.4171873
Wayne County|38.4318573|-88.4324302
White County|38.0873259|-88.1786227
Whiteside County|41.7506733|-89.9110045
Will County|41.4484742|-87.9784564
Williamson County|37.7303533|-88.9300182
Winnebago County|42.3373957|-89.1612053
Woodford County|40.7897870|-89.2105871
Adams County|40.7457327|-84.9361303
Allen County|41.0919086|-85.0717907
Bartholomew County|39.2058430|-85.8979988
Benton County|40.6009394|-87.3147862
Blackford County|40.4726717|-85.3237297
Boone County|40.0508916|-86.4690137
Brown County|39.1951133|-86.2301205
Carroll County|40.5849801|-86.5651412
Cass County|40.7537986|-86.3551685
Clark County|38.4762174|-85.7111221
Clay County|39.3939279|-87.1158582
Clinton County|40.3059440|-86.4775665
Crawford County|38.2894327|-86.4408711
Daviess County|38.6960898|-87.0769430
Dearborn County|39.1483200|-84.9734976
Decatur County|39.3059799|-85.4998310
DeKalb County|41.4011894|-85.0001854
Delaware County|40.2275433|-85.3992617
Dubois County|38.3733441|-86.8733845
Elkhart County|41.6006928|-85.8639864
Fayette County|39.6396552|-85.1850315
Floyd County|38.3180811|-85.9118469
Fountain County|40.1212366|-87.2348725
Franklin County|39.4097620|-85.0669641
Fulton County|41.0503837|-86.2650060
Gibson County|38.3173981|-87.5805231
Grant County|40.5157575|-85.6549455
Greene County|39.0471466|-87.0047712
